name,language,integration,technology,tags,threat_names
Virtual Machine Fingerprinting via Grep,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: macOS,OS: Linux,Use Case: Threat Detection,Tactic: Discovery,Data Source: Elastic Defend",Discovery
AWS SSM `SendCommand` with Run Shell Command Parameters,kuery,"endpoint,auditd_manager",rules/cross-platform,"Domain: Endpoint,Domain: Cloud,OS: Linux,OS: macOS,OS: Windows,Use Case: Threat Detection,Tactic: Execution,Data Source: Elastic Defend,Data Source: Elastic Endgame,Data Source: Auditd Manager",Execution
EggShell Backdoor Execution,kuery,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Execution,Data Source: Elastic Defend",Execution
Potential Widespread Malware Infection Across Multiple Hosts,esql,N/A,rules/cross-platform,"Domain: Endpoint,Data Source: Elastic Defend,Use Case: Threat Detection,Tactic: Execution,Rule Type: Higher-Order Rule",Execution
Potential Reverse Shell Activity via Terminal,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Execution,Resources: Investigation Guide,Data Source: Elastic Defend",Execution
Deprecated - Suspicious JAVA Child Process,kuery,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Execution,Resources: Investigation Guide,Use Case: Vulnerability,Data Source: Elastic Defend",Execution
Potential JAVA/JNDI Exploitation Attempt,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Execution,Use Case: Vulnerability,Data Source: Elastic Defend",Execution
My First Rule,kuery,N/A,rules/cross-platform,Use Case: Guided Onboarding,N/A
Hosts File Modified,eql,"endpoint,windows",rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: Windows,OS: macOS,Use Case: Threat Detection,Tactic: Impact,Resources: Investigation Guide,Data Source: Elastic Defend",Impact
Zoom Meeting with no Passcode,kuery,N/A,rules/cross-platform,"Data Source: Zoom,Use Case: Configuration Audit,Tactic: Initial Access",Initial Access
Multiple Alerts in Different ATT&CK Tactics on a Single Host,kuery,N/A,rules/cross-platform,"Use Case: Threat Detection,Rule Type: Higher-Order Rule",N/A
Multiple Alerts Involving a User,kuery,N/A,rules/cross-platform,"Use Case: Threat Detection,Rule Type: Higher-Order Rule",N/A
Modification of Standard Authentication Module or Configuration,kuery,endpoint,rules/cross-platform,"Domain: Endpoint,OS: macOS,OS: Linux,Use Case: Threat Detection,Tactic: Credential Access,Tactic: Persistence,Data Source: Elastic Defend",Persistence; Credential Access
Bash Shell Profile Modification,kuery,endpoint,rules/cross-platform,"Domain: Endpoint,OS: macOS,OS: Linux,Use Case: Threat Detection,Tactic: Persistence,Data Source: Elastic Defend",Persistence
SSH Authorized Keys File Modification,kuery,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Lateral Movement,Tactic: Persistence,Data Source: Elastic Defend",Persistence; Lateral Movement
Potential Privilege Escalation via Sudoers File Modification,kuery,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Privilege Escalation,Data Source: Elastic Defend",Privilege Escalation
SUID/SGID Bit Set,eql,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Privilege Escalation,Data Source: Elastic Defend",Privilege Escalation; Persistence
Sudoers File Modification,kuery,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Privilege Escalation,Data Source: Elastic Defend",Privilege Escalation
Sudo Heap-Based Buffer Overflow Attempt,kuery,endpoint,rules/cross-platform,"Domain: Endpoint,OS: Linux,OS: macOS,Use Case: Threat Detection,Tactic: Privilege Escalation,Use Case: Vulnerability,Data Source: Elastic Defend",Privilege Escalation
AWS EC2 Admin Credential Fetch via Assumed Role,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: Amazon EC2,Use Case: Identity and Access Audit,Resources: Investigation Guide,Tactic: Credential Access",Credential Access
AWS IAM Brute Force of Assume Role Policy,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Use Case: Identity and Access Audit,Resources: Investigation Guide,Tactic: Credential Access",Credential Access
AWS IAM CompromisedKeyQuarantine Policy Attached to User,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Resources: Investigation Guide,Use Case: Identity and Access Audit,Tactic: Credential Access",Credential Access
AWS IAM User Addition to Group,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Use Case: Identity and Access Audit,Tactic: Credential Access,Tactic: Persistence,Resources: Investigation Guide",Credential Access; Persistence
First Time Seen AWS Secret Value Accessed in Secrets Manager,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Secrets Manager,Tactic: Credential Access,Resources: Investigation Guide",Credential Access
Rapid Secret Retrieval Attempts from AWS SecretsManager,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Secrets Manager,Tactic: Credential Access,Resources: Investigation Guide",Credential Access
AWS Systems Manager SecureString Parameter Request with Decryption Flag,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Systems Manager,Tactic: Credential Access,Resources: Investigation Guide",Credential Access
AWS Management Console Brute Force of Root User Identity,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Use Case: Identity and Access Audit,Tactic: Credential Access",Credential Access
AWS CloudTrail Log Suspended,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Use Case: Log Auditing,Resources: Investigation Guide,Tactic: Defense Evasion",Defense Evasion
AWS CloudWatch Alarm Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Resources: Investigation Guide,Tactic: Defense Evasion",Defense Evasion
AWS Configuration Recorder Stopped,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Tactic: Defense Evasion",Defense Evasion
AWS Config Resource Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Resources: Investigation Guide,Tactic: Defense Evasion",Defense Evasion
AWS VPC Flow Logs Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Use Case: Log Auditing,Resources: Investigation Guide,Tactic: Defense Evasion",Defense Evasion
AWS EC2 Network Access Control List Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Use Case: Network Security Monitoring,Tactic: Defense Evasion",Defense Evasion
AWS ElastiCache Security Group Modified or Deleted,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Tactic: Defense Evasion",Defense Evasion
AWS GuardDuty Detector Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Tactic: Defense Evasion",Defense Evasion
Route53 Resolver Query Log Configuration Deleted,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: Amazon Route53,Use Case: Log Auditing,Resources: Investigation Guide,Tactic: Defense Evasion",Defense Evasion
AWS S3 Bucket Server Access Logging Disabled,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: Amazon S3,Use Case: Asset Visibility,Tactic: Defense Evasion",Defense Evasion
First Occurrence of STS GetFederationToken Request by User,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: Amazon Web Services,Data Source: AWS,Data Source: AWS STS,Use Case: Threat Detection,Tactic: Defense Evasion",Defense Evasion
Insecure AWS EC2 VPC Security Group Ingress Rule Added,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS EC2,Use Case: Threat Detection,Tactic: Defense Evasion",Defense Evasion
AWS WAF Rule or Rule Group Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Use Case: Network Security Monitoring,Tactic: Defense Evasion",Defense Evasion
AWS Discovery API Calls via CLI from a Single Resource,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: AWS EC2,Data Source: AWS IAM,Data Source: AWS S3,Use Case: Threat Detection,Tactic: Discovery",Discovery
AWS EC2 Multi-Region DescribeInstances API Calls,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: AWS EC2,Resources: Investigation Guide,Use Case: Threat Detection,Tactic: Discovery",Discovery
AWS STS GetCallerIdentity API Called for the First Time,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS STS,Use Case: Identity and Access Audit,Tactic: Discovery,Resources: Investigation Guide",Discovery
AWS Service Quotas Multi-Region `GetServiceQuota` Requests,esql,N/A,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Service Quotas,Use Case: Threat Detection,Tactic: Discovery",Discovery
AWS Lambda Layer Added to Existing Function,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Lambda,Use Case: Threat Detection,Tactic: Execution",Execution
First Time AWS Cloudformation Stack Creation by User,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: Cloudformation,Use Case: Asset Visibility,Tactic: Execution",Execution
AWS SSM Command Document Created by Rare User,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS SNS,Data Source: AWS Systems Manager,Resources: Investigation Guide,Use Case: Threat Detection,Tactic: Execution",Execution
AWS SSM `SendCommand` Execution by Rare User,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS SSM,Use Case: Log Auditing,Use Case: Threat Detection,Tactic: Execution,Resources: Investigation Guide",Execution
EC2 AMI Shared with Another Account,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS EC2,Use Case: Threat Detection,Tactic: Exfiltration",Exfiltration
AWS EC2 EBS Snapshot Shared with Another Account,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS EC2,Use Case: Threat Detection,Tactic: Exfiltration",Exfiltration
AWS EC2 Snapshot Activity,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Use Case: Asset Visibility,Tactic: Exfiltration,Resources: Investigation Guide",Exfiltration
AWS EC2 VM Export Failure,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Use Case: Asset Visibility,Tactic: Exfiltration,Tactic: Collection",Exfiltration; Collection
AWS RDS DB Snapshot Shared with Another Account,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS RDS,Resources: Investigation Guide,Use Case: Threat Detection,Tactic: Exfiltration",Exfiltration
AWS S3 Bucket Policy Added to Share with External Account,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS S3,Use Case: Threat Detection,Tactic: Exfiltration",Exfiltration
AWS S3 Bucket Replicated to Another Account,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS S3,Resources: Investigation Guide,Use Case: Threat Detection,Tactic: Exfiltration",Exfiltration
AWS SNS Email Subscription by Rare User,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS SNS,Resources: Investigation Guide,Use Case: Threat Detection,Tactic: Exfiltration",Exfiltration
AWS EventBridge Rule Disabled or Deleted,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Tactic: Impact",Impact
AWS S3 Bucket Enumeration or Brute Force,esql,N/A,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS S3,Resources: Investigation Guide,Use Case: Log Auditing,Tactic: Impact",Impact; Discovery; Collection
AWS CloudTrail Log Updated,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Cloudtrail,Use Case: Log Auditing,Resources: Investigation Guide,Tactic: Impact",Impact; Collection
AWS CloudWatch Log Group Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS CloudWatch,Use Case: Log Auditing,Resources: Investigation Guide,Tactic: Impact",Impact; Defense Evasion
AWS CloudWatch Log Stream Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS CloudWatch,Use Case: Log Auditing,Tactic: Impact,Resources: Investigation Guide",Impact; Defense Evasion
AWS IAM Group Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Tactic: Impact",Impact
AWS KMS Customer Managed Key Disabled or Scheduled for Deletion,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS KMS,Use Case: Log Auditing,Tactic: Impact",Impact
AWS Deletion of RDS Instance or Cluster,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS RDS,Use Case: Asset Visibility,Tactic: Impact",Impact
AWS RDS DB Instance or Cluster Deletion Protection Disabled,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS RDS,Resources: Investigation Guide,Use Case: Threat Detection,Tactic: Impact",Impact
AWS RDS Snapshot Deleted,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS RDS,Use Case: Asset Visibility,Tactic: Impact",Impact
Potential AWS S3 Bucket Ransomware Note Uploaded,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS S3,Use Case: Threat Detection,Tactic: Impact",Impact
AWS S3 Object Encryption Using External KMS Key,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS S3,Data Source: AWS KMS,Use Case: Threat Detection,Tactic: Impact",Impact
AWS S3 Object Versioning Suspended,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS S3,Use Case: Threat Detection,Tactic: Impact",Impact
AWS Management Console Root Login,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Signin,Use Case: Identity and Access Audit,Resources: Investigation Guide,Tactic: Initial Access",Initial Access; Persistence
AWS IAM Password Recovery Requested,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Signin,Use Case: Identity and Access Audit,Tactic: Initial Access",Initial Access
AWS Signin Single Factor Console Login with Federated User,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: Amazon Web Services,Data Source: AWS,Data Source: AWS Sign-In,Use Case: Threat Detection,Tactic: Initial Access",Initial Access
SSM Session Started to EC2 Instance,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS SSM,Use Case: Threat Detection,Tactic: Lateral Movement",Lateral Movement
AWS EC2 Instance Console Login via Assumed Role,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS EC2,Data Source: AWS STS,Use Case: Identity and Access Audit,Tactic: Lateral Movement,Tactic: Credential Access",Lateral Movement; Credential Access
Spike in AWS Error Messages,N/A,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Rule Type: ML,Rule Type: Machine Learning,Resources: Investigation Guide",N/A
Rare AWS Error Code,N/A,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Rule Type: ML,Rule Type: Machine Learning,Resources: Investigation Guide",N/A
Unusual City For an AWS Command,N/A,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Rule Type: ML,Rule Type: Machine Learning,Resources: Investigation Guide",N/A
Unusual Country For an AWS Command,N/A,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Rule Type: ML,Rule Type: Machine Learning,Resources: Investigation Guide",N/A
Unusual AWS Command for a User,N/A,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Rule Type: ML,Rule Type: Machine Learning,Resources: Investigation Guide",N/A
AWS EC2 Network Access Control List Creation,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS EC2,Use Case: Network Security Monitoring,Tactic: Persistence",Persistence
AWS IAM Login Profile Added for Root,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Persistence,Resources: Investigation Guide",Persistence
AWS IAM Create User via Assumed Role on EC2 Instance,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Persistence",Persistence
AWS IAM Group Creation,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Persistence",Persistence
AWS IAM Roles Anywhere Profile Creation,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Persistence",Persistence
AWS IAM Roles Anywhere Trust Anchor Created with External CA,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Persistence",Persistence
AWS IAM User Created Access Keys For Another User,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Privilege Escalation,Tactic: Persistence,Resources: Investigation Guide",Persistence; Privilege Escalation
AWS Lambda Function Policy Updated to Allow Public Invocation,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Lambda,Use Case: Threat Detection,Tactic: Persistence",Persistence
AWS RDS DB Instance or Cluster Password Modified,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS RDS,Resources: Investigation Guide,Use Case: Threat Detection,Tactic: Persistence,Tactic: Privilege Escalation,Tactic: Defense Evasion",Persistence; Privilege Escalation; Defense Evasion
AWS RDS Security Group Creation,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS RDS,Tactic: Persistence",Persistence
AWS RDS Instance Creation,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS RDS,Use Case: Asset Visibility,Tactic: Persistence",Persistence
AWS RDS DB Instance Made Public,eql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS RDS,Resources: Investigation Guide,Use Case: Threat Detection,Tactic: Persistence,Tactic: Defense Evasion",Persistence; Defense Evasion
AWS Route 53 Domain Transferred to Another Account,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Route53,Use Case: Asset Visibility,Tactic: Persistence",Persistence; Credential Access
AWS Route 53 Domain Transfer Lock Disabled,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Route53,Use Case: Asset Visibility,Tactic: Persistence",Persistence; Credential Access
AWS Route53 private hosted zone associated with a VPC,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Route53,Use Case: Asset Visibility,Tactic: Persistence",Persistence
AWS STS AssumeRole with New MFA Device,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS STS,Use Case: Identity and Access Audit,Tactic: Privilege Escalation,Tactic: Persistence,Tactic: Lateral Movement",Persistence; Privilege Escalation; Lateral Movement
AWS EC2 Instance Connect SSH Public Key Uploaded,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS EC2,Use Case: Identity and Access Audit,Tactic: Privilege Escalation",Privilege Escalation
AWS IAM AdministratorAccess Policy Attached to Group,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Privilege Escalation,Tactic: Persistence,Resources: Investigation Guide",Privilege Escalation; Persistence
AWS IAM AdministratorAccess Policy Attached to Role,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Privilege Escalation,Tactic: Persistence,Resources: Investigation Guide",Privilege Escalation; Persistence
AWS IAM AdministratorAccess Policy Attached to User,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Privilege Escalation,Tactic: Persistence,Resources: Investigation Guide",Privilege Escalation; Persistence
AWS IAM Customer-Managed Policy Attached to Role by Rare User,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Resources: Investigation Guide,Use Case: Identity and Access Audit,Tactic: Privilege Escalation",Privilege Escalation
AWS IAM SAML Provider Updated,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS IAM,Use Case: Identity and Access Audit,Tactic: Privilege Escalation",Privilege Escalation
AWS STS Role Assumption by Service,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS STS,Resources: Investigation Guide,Use Case: Identity and Access Audit,Tactic: Privilege Escalation",Privilege Escalation; Lateral Movement
AWS STS Role Assumption by User,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS STS,Resources: Investigation Guide,Use Case: Identity and Access Audit,Tactic: Privilege Escalation",Privilege Escalation; Lateral Movement
AWS Root Login Without MFA,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS Route53,Use Case: Identity and Access Audit,Resources: Investigation Guide,Tactic: Privilege Escalation",Privilege Escalation
AWS STS AssumeRoot by Rare User and Member Account,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS STS,Resources: Investigation Guide,Use Case: Identity and Access Audit,Tactic: Privilege Escalation",Privilege Escalation; Persistence
AWS STS Role Chaining,esql,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS STS,Use Case: Threat Detection,Tactic: Persistence,Tactic: Privilege Escalation,Tactic: Lateral Movement",Privilege Escalation; Lateral Movement; Persistence
AWS IAM Assume Role Policy Update,kuery,aws,rules/integrations/aws,"Domain: Cloud,Data Source: AWS,Data Source: Amazon Web Services,Data Source: AWS STS,Use Case: Identity and Access Audit,Resources: Investigation Guide,Tactic: Privilege Escalation",Privilege Escalation
